epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.5,0.6666666865348816,0.7256178259849548,145.12356567382812,0.6666666865348816
0,,,,,2,0.7325225472450256,,,,,,,
1,,,,,5,,,,0.49000000953674316,0.6530612111091614,0.7073155045509338,141.46310424804688,0.6530612111091614
1,,,,,5,0.7106378674507141,,,,,,,
2,,,,,8,,,,0.45500001311302185,0.12800000607967377,0.7018987536430359,140.37974548339844,0.12800000607967377
2,,,,,8,0.6780485510826111,,,,,,,
3,,,,,11,,,,0.4950000047683716,0.0,0.7067201137542725,141.34402465820312,0.0
3,,,,,11,0.7006497979164124,,,,,,,
4,,,,,14,,,,0.4950000047683716,0.0,0.7039310336112976,140.7862091064453,0.0
4,,,,,14,0.7080932259559631,,,,,,,
5,,,,,17,,,,0.4950000047683716,0.0,0.6972342133522034,139.44683837890625,0.0
5,,,,,17,0.6852454543113708,,,,,,,
6,,,,,20,,,,0.5199999809265137,0.27272728085517883,0.6913898587226868,138.27796936035156,0.27272728085517883
6,,,,,20,0.6722287535667419,,,,,,,
7,,,,,23,,,,0.5550000071525574,0.5291005373001099,0.6876122355461121,137.52244567871094,0.5291005373001099
7,,,,,23,0.6696538925170898,,,,,,,
8,,,,,26,,,,0.5600000023841858,0.6239316463470459,0.686018168926239,137.20362854003906,0.6239316463470459
8,,,,,26,0.6811861991882324,,,,,,,
9,,,,,29,,,,0.5849999785423279,0.6527196764945984,0.6847882866859436,136.95765686035156,0.6527196764945984
9,,,,,29,0.6557911038398743,,,,,,,
10,,,,,32,,,,0.574999988079071,0.6188340783119202,0.68316251039505,136.6325225830078,0.6188340783119202
10,,,,,32,0.6542338728904724,,,,,,,
11,,,,,35,,,,0.5600000023841858,0.5463917255401611,0.6818392872810364,136.36785888671875,0.5463917255401611
11,,,,,35,0.6611180901527405,,,,,,,
12,,,,,38,,,,0.574999988079071,0.4970414340496063,0.6811677813529968,136.23355102539062,0.4970414340496063
12,,,,,38,0.6469933390617371,,,,,,,
13,,,,,41,,,,0.5600000023841858,0.39726027846336365,0.6809309124946594,136.18618774414062,0.39726027846336365
13,,,,,41,0.672501802444458,,,,,,,
14,,,,,44,,,,0.5600000023841858,0.39726027846336365,0.6800907850265503,136.01815795898438,0.39726027846336365
14,,,,,44,0.6457816958427429,,,,,,,
15,,,,,47,,,,0.5849999785423279,0.47133758664131165,0.6789072155952454,135.78146362304688,0.47133758664131165
15,,,,,47,0.6405646800994873,,,,,,,
16,,,,,50,,,,0.5849999785423279,0.48447203636169434,0.6782103776931763,135.64207458496094,0.48447203636169434
16,,,,,50,0.649871289730072,,,,,,,
17,,,,,53,,,,0.5799999833106995,0.4878048896789551,0.6776919364929199,135.53839111328125,0.4878048896789551
17,,,,,53,0.6492763757705688,,,,,,,
18,,,,,56,,,,0.5799999833106995,0.4939759075641632,0.6773378252983093,135.46755981445312,0.4939759075641632
18,,,,,56,0.6523746848106384,,,,,,,
19,,,,,59,,,,0.5849999785423279,0.49696969985961914,0.677259087562561,135.45181274414062,0.49696969985961914
19,,,,,59,0.6534934639930725,,,,,,,
20,0.6075000166893005,0.5227963328361511,0.6075000166893005,0.5227963328361511,60,,0.6075000166893005,0.5227963328361511,,,,,
