epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.4699999988079071,0.4752475321292877,0.6994042992591858,139.880859375,0.4752475321292877
0,,,,,2,0.7275359034538269,,,,,,,
1,,,,,5,,,,0.5049999952316284,0.6688963174819946,0.7069215178489685,141.38430786132812,0.6688963174819946
1,,,,,5,0.7350538372993469,,,,,,,
2,,,,,8,,,,0.5,0.0,0.7013547420501709,140.2709503173828,0.0
2,,,,,8,0.6677897572517395,,,,,,,
3,,,,,11,,,,0.5,0.0,0.7565942406654358,151.31884765625,0.0
3,,,,,11,0.7701494097709656,,,,,,,
4,,,,,14,,,,0.5350000262260437,0.6825938820838928,0.6729204058647156,134.58407592773438,0.6825938820838928
4,,,,,14,0.6874931454658508,,,,,,,
5,,,,,17,,,,0.675000011920929,0.7389557957649231,0.6277555823326111,125.55111694335938,0.7389557957649231
5,,,,,17,0.6708275675773621,,,,,,,
6,,,,,20,,,,0.5149999856948853,0.058252427726984024,0.6864711046218872,137.29421997070312,0.058252427726984024
6,,,,,20,0.6242884993553162,,,,,,,
7,,,,,23,,,,0.7049999833106995,0.7551867365837097,0.6117047667503357,122.34095764160156,0.7551867365837097
7,,,,,23,0.6003128886222839,,,,,,,
8,,,,,26,,,,0.5799999833106995,0.7042253613471985,0.6416376233100891,128.32754516601562,0.7042253613471985
8,,,,,26,0.6242060661315918,,,,,,,
9,,,,,29,,,,0.7149999737739563,0.6274510025978088,0.6067363023757935,121.34725952148438,0.6274510025978088
9,,,,,29,0.5526328086853027,,,,,,,
10,,,,,32,,,,0.5649999976158142,0.24347825348377228,0.6472375392913818,129.447509765625,0.24347825348377228
10,,,,,32,0.5243085622787476,,,,,,,
11,,,,,35,,,,0.7649999856948853,0.7431694269180298,0.5877828001976013,117.55656433105469,0.7431694269180298
11,,,,,35,0.5989438891410828,,,,,,,
12,,,,,38,,,,0.6650000214576721,0.7471697926521301,0.6141554117202759,122.83108520507812,0.7471697926521301
12,,,,,38,0.5359163284301758,,,,,,,
13,,,,,41,,,,0.6949999928474426,0.7530364394187927,0.5973135232925415,119.46270751953125,0.7530364394187927
13,,,,,41,0.593841016292572,,,,,,,
14,,,,,44,,,,0.7749999761581421,0.7457627058029175,0.5820238590240479,116.40476989746094,0.7457627058029175
14,,,,,44,0.543844997882843,,,,,,,
15,,,,,47,,,,0.6949999928474426,0.5850340127944946,0.6000890135765076,120.01780700683594,0.5850340127944946
15,,,,,47,0.5267192721366882,,,,,,,
16,,,,,50,,,,0.7850000262260437,0.7514451146125793,0.5798824429512024,115.97649383544922,0.7514451146125793
16,,,,,50,0.5215771794319153,,,,,,,
17,,,,,53,,,,0.7850000262260437,0.7772020697593689,0.5724347233772278,114.48694610595703,0.7772020697593689
17,,,,,53,0.48728951811790466,,,,,,,
18,,,,,56,,,,0.800000011920929,0.8058252334594727,0.5712093114852905,114.24186706542969,0.8058252334594727
18,,,,,56,0.5164846181869507,,,,,,,
19,,,,,59,,,,0.800000011920929,0.8058252334594727,0.5709556937217712,114.19114685058594,0.8058252334594727
19,,,,,59,0.49145612120628357,,,,,,,
20,0.8224999904632568,0.827250599861145,0.8224999904632568,0.827250599861145,60,,0.8224999904632568,0.827250599861145,,,,,
